card_id,도메인,라벨,설명,키워드,출처_공고수,출처_회사,원본_card_id
17,헬스케어·뷰티,시술 이미지 인식 개발,시술 관련 이미지·영상을 인식하거나 생성하는 기술을 개발하는 일,메디컬뷰티;이미지인식;컴퓨터비전,1,힐링페이퍼,26
18,헬스케어·뷰티,추천 모델 서비스 적용,개발한 추천·인식 모델을 실제 의료·미용 서비스에 적용하는 일,메디컬뷰티;모델적용;서비스화,1,힐링페이퍼,27
19,헬스케어·뷰티,시술 통계 분석 설계,통계 이론을 바탕으로 시술 관련 데이터를 분석하고 시각화하는 일,메디컬뷰티;통계분석;시각화,1,힐링페이퍼,28
20,헬스케어·뷰티,부정 거래·리뷰 탐지,의료·미용 플랫폼에서 이상 거래나 조작된 후기를 자동으로 찾아내는 일,메디컬뷰티;부정탐지;신뢰성확보,1,힐링페이퍼,29
21,헬스케어·뷰티,미용업계 신규 서비스 기획,메디컬뷰티 업계 데이터를 바탕으로 새로운 서비스 아이디어를 제안하는 일,메디컬뷰티;서비스기획;신규아이디어,1,힐링페이퍼,30
22,헬스케어·뷰티,청력건강 콘텐츠 기획·제작,보청기·청력 건강을 주제로 SNS 콘텐츠를 기획·제작하고 성과를 분석하는 일,청력건강;콘텐츠기획;성과분석,1,히어닷컴코리아,58
23,헬스케어·뷰티,청력건강 광고 최적화,보청기 서비스 광고 콘텐츠를 만들고 구매 전환율을 높이는 일,청력건강;광고최적화;전환율,1,히어닷컴코리아,59
24,B2B AI·SaaS,고객사 문제 인사이트 도출,고객사 데이터를 깊이 분석해 비즈니스 문제 해결 실마리를 찾는 일,B2B AI;고객사분석;인사이트도출,1,스마트마인드,31
25,B2B AI·SaaS,AI 플랫폼 성능 개선,기업 고객이 쓰는 LLM 플랫폼의 성능을 높이는 기능을 개발하는 일,B2B AI;LLM플랫폼;성능개선,1,스마트마인드,32
26,B2B AI·SaaS,지식 추론 기술 연구,지식 그래프로 개념 간 관계를 추론하는 기술을 연구하는 일,B2B AI;지식그래프;추론연구,1,스마트마인드,33
27,B2B AI·SaaS,비정형 데이터 구조화,정리되지 않은 데이터를 구조화된 형태로 바꾸는 일,B2B AI;비정형데이터;데이터구조화,1,스마트마인드,34
28,B2B AI·SaaS,AI 신사업 기획,AI 기술을 활용한 새로운 사업 아이디어를 발굴하고 기획하는 일,B2B AI;신사업기획;사업화,1,스마트마인드,35
29,B2B AI·SaaS,AI 학습 데이터 시스템 구축,LLM 학습에 쓰일 대용량 데이터를 모으고 저장·처리하는 시스템을 만드는 일,B2B AI;LLM학습데이터;시스템구축,1,업스테이지,42
30,B2B AI·SaaS,AI 데이터 파이프라인 개발,LLM 서비스에 필요한 데이터 이동 경로를 만들고 최적화하는 일,B2B AI;데이터파이프라인;최적화,1,업스테이지,43
31,B2B AI·SaaS,AI 데이터 품질 모니터링,LLM에 들어가는 데이터의 품질과 처리 성능을 지속적으로 점검하는 일,B2B AI;데이터품질;성능관리,1,업스테이지,44
32,B2B AI·SaaS,AI 데이터 저장 구조 설계,LLM 서비스를 위한 데이터 저장·분석 구조를 설계하는 일,B2B AI;데이터아키텍처;저장구조,1,업스테이지,45
33,B2B AI·SaaS,AI 인프라 분산 시스템 운영,대규모 AI 서비스를 뒷받침하는 분산 처리 시스템을 운영하는 일,B2B AI;분산시스템;인프라운영,1,업스테이지,46
34,B2B AI·SaaS,고객사 AI 데이터 운영 지원,기업 고객의 데이터 분석과 파이프라인 운영을 지원하는 일,B2B AI;고객사지원;파이프라인운영,1,업스테이지,47
35,B2B AI·SaaS,AI 모델 평가 프로세스 수립,AI 결과물의 품질을 검증하는 평가 절차를 만들고 운영하는 일,B2B AI;품질평가;검증프로세스,1,업스테이지,48
36,이커머스·물류,이커머스 사업영역별 데이터 설계,쿠팡의 여러 사업 영역(주문·배송·물류 등)에 맞는 데이터 저장소를 설계·관리하는 일,이커머스;물류;데이터마트,1,쿠팡,49
37,이커머스·물류,주문·물류 데이터 통합 수집,이커머스 서비스 곳곳에서 발생하는 데이터를 한곳으로 모으는 시스템을 만드는 일,이커머스;데이터통합;소스연동,1,쿠팡,50
38,이커머스·물류,물류 데이터 저장소 최적화,대량의 주문·물류 데이터를 효율적으로 저장하도록 최적화하는 일,이커머스;저장소최적화;비용절감,1,쿠팡,51
39,이커머스·물류,주문처리 데이터 흐름 지원,이커머스 주문·배송 처리가 끊기지 않도록 안정적인 데이터 흐름을 지원하는 일,이커머스;물류안정성;파이프라인지원,1,쿠팡,52
40,이커머스·물류,신선식품 데이터 마트 구축,신선식품 커머스 운영에 필요한 데이터를 정리해 대시보드·알림 등으로 제공하는 일,신선식품커머스;데이터마트;대시보드,1,컬리,17
41,이커머스·물류,커머스 문제 발굴·해결 제안,쌓인 데이터에서 비즈니스 문제를 찾아내고 해결책을 제안하는 일,이커머스;문제발굴;해결책제안,1,컬리,18
42,이커머스·물류,커머스·물류 전반 분석,상품 판매부터 새벽배송까지 커머스·물류 전 과정의 데이터를 분석하는 일,신선식품커머스;물류분석;전과정분석,1,컬리,19
43,이커머스·물류,패션커머스 분석환경 구축,패션 이커머스 서비스의 데이터 분석·모델링 환경을 클라우드에 구축·운영하는 일,패션이커머스;분석환경;클라우드,1,무신사,53
44,이커머스·물류,패션커머스 파이프라인 운영,실제 서비스 수준에서 패션 상품·거래 데이터가 흐르도록 파이프라인을 구축·운영하는 일,패션이커머스;파이프라인운영;서비스레벨,1,무신사,54
45,로컬비즈니스·커뮤니티커머스,로컬서비스 탐색적 분석 설계,동네 중고거래·로컬 서비스를 탐색적으로 분석하기 위한 데이터 구조를 고민하고 설계하는 일,로컬커머스;탐색적분석;데이터구조,1,당근마켓(로컬비즈니스),14
46,로컬비즈니스·커뮤니티커머스,로컬서비스 개선 가설 수립,로컬 서비스 데이터에서 얻은 인사이트로 개선 가설을 세우는 일,로컬커머스;가설수립;인사이트도출,1,당근마켓(로컬비즈니스),15
47,로컬비즈니스·커뮤니티커머스,로컬서비스 실험 검증,동네 서비스 개선 가설이 실제로 효과 있는지 실험을 설계하고 결과를 분석하는 일,로컬커머스;실험검증;가설검증,1,당근마켓(로컬비즈니스),8
48,로컬비즈니스·커뮤니티커머스,동네가게 성장 지표 시각화,소상공인·동네 가게의 성장을 보여줄 핵심 지표를 정하고 추적·시각화하는 일,로컬커머스;소상공인;성장지표,1,당근마켓(로컬비즈니스),16
49,로컬비즈니스·커뮤니티커머스,로컬서비스 의사결정 방향 제시,동네 커뮤니티 서비스의 중요한 질문을 데이터로 정의하고 의사결정 방향을 제안하는 일,로컬커머스;의사결정지원;방향성제시,1,당근마켓(디시젼),36
50,로컬비즈니스·커뮤니티커머스,서비스 변화 영향 측정,로컬 서비스의 의사결정·제품 개선이 이용자에게 미친 영향을 투명하게 측정해 공유하는 일,로컬커머스;임팩트측정;투명성,1,당근마켓(디시젼),37
51,로컬비즈니스·커뮤니티커머스,로컬서비스 실험 편향 제거,동네 서비스 개선 실험에서 판단의 편향을 없애는 일,로컬커머스;AB테스트;편향제거,1,당근마켓(디시젼),38
52,로컬비즈니스·커뮤니티커머스,동네결제 데이터 인프라 구축,동네 간편결제(당근페이) 서비스를 뒷받침하는 데이터 인프라·플랫폼을 클라우드에 구축하는 일,로컬핀테크;결제인프라;클라우드,1,당근마켓(당근페이),55
53,로컬비즈니스·커뮤니티커머스,동네결제 분석환경 제공,당근페이 운영진이 데이터를 보고 결정을 내릴 수 있도록 분석 환경을 만들어주는 일,로컬핀테크;분석환경;의사결정지원,1,당근마켓(당근페이),56
54,로컬비즈니스·커뮤니티커머스,결제서비스 확장 아키텍처 설계,이용자가 늘어나도 문제없이 버틸 수 있는 결제 데이터 구조를 설계하는 일,로컬핀테크;확장성;아키텍처설계,1,당근마켓(당근페이),57
55,광고테크·소상공인마케팅,광고플랫폼 신제품 영업,소상공인 대상 광고 플랫폼의 새 서비스를 제안하고 도입시키는 영업 활동,소상공인광고;신제품영업;B2B,1,엑스플라이어,65
56,광고테크·소상공인마케팅,광고시장 경쟁 조사,소상공인 광고 시장 동향과 경쟁사 현황을 조사하는 일,소상공인광고;시장조사;경쟁분석,1,엑스플라이어,66
57,광고테크·소상공인마케팅,영업자료 개발,소상공인에게 광고 서비스를 설명할 영업 자료를 만들고 현장에 적용하는 일,소상공인광고;세일즈자료;영업지원,1,엑스플라이어,67
58,광고테크·소상공인마케팅,계약조건 검토,광고 서비스 계약 조건을 분석하고 리스크를 검토하는 일,소상공인광고;계약검토;리스크분석,1,엑스플라이어,68
59,광고테크·소상공인마케팅,소상공인 파트너 관리,광고 서비스를 이용하는 소상공인 파트너와의 관계를 관리·유지하는 일,소상공인광고;파트너관리;관계유지,1,엑스플라이어,69
60,광고테크·소상공인마케팅,소상공인 신규고객 개발,광고 서비스를 이용할 새로운 소상공인 고객을 발굴하는 일,소상공인광고;리드발굴;신규영업,1,엑스플라이어,70
61,미디어·저널리즘,언론사 사업전략 기획,신문·미디어 사업의 중장기 전략을 수립하고 기획하는 일,언론미디어;사업전략;전략기획,1,중앙일보,71
62,미디어·저널리즘,언론사 경영성과 관리,미디어 사업의 경영 계획을 세우고 실적·성과를 관리하는 일,언론미디어;경영계획;성과관리,1,중앙일보,72
63,미디어·저널리즘,언론사 경영현황 보고,미디어 사업의 경영 현황을 보고하고 이슈에 대응하는 일,언론미디어;경영보고;이슈대응,1,중앙일보,73
64,미디어·저널리즘,미디어 그룹 계열사 관리,의사결정 체계를 운영하고 자회사(계열 미디어사)를 관리하는 일,언론미디어;의사결정체계;계열사관리,1,중앙일보,74
65,교육·에듀테크,교육서비스 이슈 해결,온라인 강의 서비스에서 생기는 문제를 파악하고 해결 방향을 제시하는 일,온라인교육;문제해결;서비스개선,1,데이원컴퍼니,5
66,교육·에듀테크,교육 데이터 표준 관리,교육 서비스에서 쓰이는 데이터의 형식·품질 기준을 세우고 운영하는 일,교육데이터;품질기준;표준정책,1,데이원컴퍼니,6
67,교육·에듀테크,교육서비스 대시보드 구축,수강·학습 관련 현황을 볼 수 있는 대시보드를 만들고 운영하는 일,온라인교육;대시보드;서비스현황,1,데이원컴퍼니,7
68,교육·에듀테크,교육 실험·A/B 테스트 지원,강의·서비스 개선안이 실제로 효과가 있는지 실험으로 검증하는 일을 돕는 일,온라인교육;AB테스트;효과검증,1,데이원컴퍼니,8
69,교육·에듀테크,교육서비스 성장전략 실행,코딩·자기계발 교육 서비스의 신규 수강생 확보를 위한 성장 전략을 세우고 실행하는 일,에듀테크;성장전략;고객확보,1,팀스파르타,60
70,교육·에듀테크,교육시장 로드맵 설계,교육 시장 상황을 분석해 서비스의 사업 방향을 설계하는 일,에듀테크;시장분석;로드맵,1,팀스파르타,61
71,교육·에듀테크,광고캠페인 성과 분석,교육 서비스 광고 캠페인의 채널별 성과를 분석해 효율을 높이는 일,에듀테크;캠페인분석;광고효율,1,팀스파르타,62
72,교육·에듀테크,교육서비스 광고매체 운영,교육 서비스를 알릴 여러 광고 매체를 관리하고 채널 전략을 세우는 일,에듀테크;매체운영;채널전략,1,팀스파르타,63
73,교육·에듀테크,수강 이탈구간 개선,수강생이 이탈하는 지점을 찾아 개선 가설을 세우고 실험하는 일,에듀테크;이탈개선;퍼널분석,1,팀스파르타,64
74,콘텐츠·게임테크,3D 동작 인식 기술 개발,영상 속 사람의 동작·자세를 3D로 인식하는 애니메이션 제작 기술을 연구·개발하는 일,콘텐츠제작;3D모션캡처;동작인식,1,플라스크,39
75,콘텐츠·게임테크,애니메이션 AI 툴 프로토타이핑,애니메이션·영상 제작자를 위한 AI 솔루션의 초기 버전을 만들어보는 일,콘텐츠제작;AI툴;프로토타이핑,1,플라스크,40
76,콘텐츠·게임테크,최신 연구 도입·검증,애니메이션 제작에 적용할 최신 연구를 분석해 직접 구현하고 성능을 검증하는 일,콘텐츠제작;논문연구;구현검증,1,플라스크,41
77,콘텐츠·게임테크,애니메이션 AI 서비스 적용,개발한 모션캡처·인식 모델을 실제 애니메이션 제작 서비스에 적용하는 일,콘텐츠제작;모델적용;서비스화,1,플라스크,27
